case_id,amp,pw,Ea_mean,Ea_sigma,dV1,dV100,gradual,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog
A2p20_PW2p00e-01us_Em1p00_Es0p20,2.2,2e-07,1,0.2,0.0242279482691569,0.140443946892489,0.116215998623332,-0.435000000000019,1,0,0,1
A2p20_PW5p00e-01us_Em1p00_Es0p20,2.2,5e-07,1,0.2,0.0548720176612063,0.161387048802258,0.106515031141052,-0.500000000000023,1,0,0,1
A2p20_PW2p00e-01us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,0.101591189276768,0.206659613519383,0.105068424242615,-0.640000000000029,1,0,0,1
A1p80_PW1p00e+00us_Em0p85_Es0p20,1.8,1e-06,0.85,0.2,-0.0403464943903979,0.061298492132105,0.101644986522503,-0.190000000000009,1,0,0,0
A1p80_PW2p00e-01us_Em0p80_Es0p20,1.8,2e-07,0.8,0.2,-0.022740607608097,0.0773453488317108,0.100085956439808,-0.240000000000011,1,0,0,0
A1p80_PW5p00e-01us_Em0p80_Es0p20,1.8,5e-07,0.8,0.2,-0.00302764915107145,0.0970489828692173,0.100076632020289,-0.300000000000014,1,0,0,0
A1p80_PW2p00e-01us_Em0p75_Es0p20,1.8,2e-07,0.75,0.2,0.0178114544375896,0.114674852614268,0.0968633981766789,-0.355000000000016,1,0,0,1
A1p80_PW5p00e-01us_Em0p85_Es0p20,1.8,5e-07,0.85,0.2,-0.0467327977046277,0.0500312370688003,0.096764034773428,-0.155000000000007,1,0,0,0
A1p80_PW1p00e+00us_Em0p80_Es0p20,1.8,1e-06,0.8,0.2,0,0.0949842208249702,0.0949842208249702,-0.295000000000013,1,0,0,0
A1p80_PW2p00e-01us_Em0p85_Es0p20,1.8,2e-07,0.85,0.2,-0.0612792476299002,0.032443356073499,0.0937226037033992,-0.100000000000005,1,1,0,0
A1p80_PW5p00e-01us_Em0p75_Es0p20,1.8,5e-07,0.75,0.2,0.0355267836014093,0.128891615984055,0.0933648323826459,-0.400000000000018,1,0,0,1
A2p20_PW1p00e+00us_Em1p00_Es0p20,2.2,1e-06,1,0.2,0.0756590189772722,0.167892366307404,0.0922333473301319,-0.520000000000024,1,0,0,1
A2p20_PW5p00e-01us_Em0p95_Es0p20,2.2,5e-07,0.95,0.2,0.121116000405527,0.209965125449354,0.0888491250438268,-0.650000000000029,1,0,0,1
A2p20_PW1p00e+00us_Em0p95_Es0p20,2.2,1e-06,0.95,0.2,0.138837472233593,0.22268107015079,0.0838435979171971,-0.690000000000031,1,0,0,1
A1p80_PW1p00e+00us_Em0p90_Es0p20,1.8,1e-06,0.9,0.2,-0.077507860681548,-0.00326867049111357,0.0742391901904345,0.0100000000000002,1,1,0,0
A1p80_PW5p00e-01us_Em0p90_Es0p20,1.8,5e-07,0.9,0.2,-0.0659878908604237,0.00478109506168267,0.0707689859221063,-0.015000000000001,1,1,0,0
A1p80_PW1p00e+00us_Em0p75_Es0p20,1.8,1e-06,0.75,0.2,0.0516592789137992,0.121025634095669,0.0693663551818697,-0.375000000000017,1,0,0,1
A2p20_PW2p00e-01us_Em0p90_Es0p20,2.2,2e-07,0.9,0.2,0.156620124164202,0.224189311773587,0.0675691876093848,-0.695000000000031,1,0,0,1
A1p80_PW2p00e-01us_Em0p90_Es0p20,1.8,2e-07,0.9,0.2,-0.074312406123331,-0.021000816453185,0.053311589670146,0.0650000000000031,1,1,0,0
A2p20_PW2p00e-01us_Em1p00_Es0p30,2.2,2e-07,1,0.3,0.0858694786801595,0.138906836798672,0.053037358118513,-0.430000000000018,1,0,0,1
