amp_V,delay_s,P0,Vth0_V,dV_N1_V,dV_N100_V,gradual_metric_V,valid_ratio
1.4,1e-07,-0.185000000000008,0.755487592964115,0,-0.0147592338421623,0.0147592338421623,1
1.4,3e-07,-0.175000000000008,0.75235281437794,0,-0.0098997649953021,0.0098997649953021,1
1.4,1e-06,-0.150000000000007,0.744156032991392,0,-0.0127753909104616,0.0127753909104616,1
1.4,3e-06,-0.215000000000009,0.76518427900523,0,-0.0193467687033333,0.0193467687033333,1
1.4,1e-05,-0.205000000000009,0.761783012812983,0,-0.0159455025110858,0.0159455025110858,1
1.4,3e-05,-0.160000000000007,0.747497694439763,0,-0.00676933531781021,0.00676933531781021,1
1.4,0.0001,-0.22000000000001,0.766852741306219,0,-0.00982751074712451,0.00982751074712451,1
1.5,1e-07,-0.190000000000008,0.757025230559094,-0.00309501190949801,-0.0322108747032576,0.0291158627937596,1
1.5,3e-07,-0.150000000000007,0.744156032991392,-0.00342767386943887,-0.0386866131073268,0.0352589392378879,1
1.5,1e-06,-0.165000000000007,0.749136811482715,-0.00668376210007737,-0.0403588101647752,0.0336750480646978,1
1.5,3e-06,-0.170000000000007,0.750755100632458,-0.00830205124982042,-0.0387520312368401,0.0304499799870197,1
1.5,1e-05,-0.180000000000008,0.753930218649596,-0.00479340716688148,-0.0435293672428814,0.0387359600759999,1
1.5,3e-05,-0.195000000000008,0.758543438516837,-0.00305584555272231,-0.0371398559234807,0.0340840103707584,1
1.5,0.0001,-0.190000000000008,0.757025230559094,-0.00788841907637949,-0.0498909609819984,0.0420025419056189,1
1.6,1e-07,-0.180000000000008,0.753930218649596,-0.0291158627937596,-0.0419271492539786,0.012811286460219,1
1.6,3e-07,-0.190000000000009,0.757025230559094,-0.030537727791299,-0.0597405425432448,0.0292028147519457,1
1.6,1e-06,-0.180000000000008,0.753930218649596,-0.0274427158818018,-0.0581798431430705,0.0307371272612686,1
1.6,3e-06,-0.190000000000009,0.757025230559094,-0.0240548278055787,-0.0612748550525685,0.0372200272469898,1
1.6,1e-05,-0.180000000000008,0.753930218649596,-0.0308104344143122,-0.0581798431430706,0.0273694087287584,1
1.6,3e-05,-0.175000000000008,0.75235281437794,-0.0193824116244244,-0.0566024388714143,0.0372200272469898,1
1.6,0.0001,-0.190000000000008,0.757025230559094,-0.0272548224492007,-0.0612748550525685,0.0340200326033677,1
