case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV3,dV10,dV30,dV100,dV300,dV1000,dV3000,A1,A3,A10,A30,A100,A300,A1000,A3000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,g4_1000_3000,A1e6_pred,is_mono,trend_good,score,elapsed_s,Nread_str,Avec_str
A1p70p0p03us_Em0p95_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,3e-08,0.95,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p03us_Em0p95_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,3e-08,0.95,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p03us_Em1p00_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,3e-08,1,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p03us_Em1p00_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,3e-08,1,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p05us_Em0p95_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,5e-08,0.95,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p05us_Em0p95_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,5e-08,0.95,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p05us_Em1p00_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,5e-08,1,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p70p0p05us_Em1p00_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.7,5e-08,1,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p03us_Em0p95_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,3e-08,0.95,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p03us_Em0p95_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,3e-08,0.95,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p03us_Em1p00_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,3e-08,1,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p03us_Em1p00_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,3e-08,1,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p05us_Em0p95_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,5e-08,0.95,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p05us_Em0p95_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,5e-08,0.95,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p05us_Em1p00_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,5e-08,1,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p75p0p05us_Em1p00_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.75,5e-08,1,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p80p0p03us_Em0p95_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.8,3e-08,0.95,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p80p0p03us_Em0p95_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.8,3e-08,0.95,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p80p0p03us_Em1p00_Es0p18_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.8,3e-08,1,0.18,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
A1p80p0p03us_Em1p00_Es0p20_tfe1p20em06_epi22p00_Iref1p00em07_VFBm0p50_VGVGm0p8_to_2p2,1.8,3e-08,1,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,-1000000000,NaN,,
